datetime,open,high,low,close,volume
2026-02-27 04:50:00,185.95,186.085,185.68,185.9,41938
2026-02-27 04:55:00,185.89,186.05,185.84,185.94,14437
2026-02-27 05:00:00,185.93,185.98,185.49,185.58,29487
2026-02-27 05:05:00,185.61,185.96,185.58,185.7,32171
2026-02-27 05:10:00,185.7,185.75,185.4,185.56,33548
2026-02-27 05:15:00,185.6,186.22,185.57,185.81,25556
2026-02-27 05:20:00,185.79,185.84,185.61,185.67,15335
2026-02-27 05:25:00,185.66,185.93,185.64,185.82,29914
2026-02-27 05:30:00,185.83,186.12,185.83,185.97,20135
2026-02-27 05:35:00,185.98,185.99,185.8,185.84,16301
2026-02-27 05:40:00,185.85,185.98,185.83,185.93,3095
2026-02-27 05:45:00,185.92,185.93,185.64,185.79,16812
2026-02-27 05:50:00,185.77,185.8,185.48,185.51,20089
2026-02-27 05:55:00,185.5,185.68,185.45,185.66,14120
2026-02-27 06:00:00,185.66,185.73,185.58,185.635,7691
2026-02-27 06:05:00,185.62,185.67,185.47,185.5,11809
2026-02-27 06:10:00,185.51,185.66,185.45,185.65,13317
2026-02-27 06:15:00,185.62,185.67,185.51,185.57,10028
2026-02-27 06:20:00,185.57,185.61,185.47,185.53,12081
2026-02-27 06:25:00,185.53,185.66,185.45,185.45,19549
2026-02-27 06:30:00,185.45,185.49,185.23,185.38,30291
2026-02-27 06:35:00,185.39,185.39,184.78,184.86,95152
2026-02-27 06:40:00,184.84,184.91,184.45,184.56,78401
2026-02-27 06:45:00,184.61,184.815,184.52,184.575,66461
2026-02-27 06:50:00,184.59,184.63,184.44,184.48,46787
2026-02-27 06:55:00,184.49,184.84,184.43,184.78,31150
2026-02-27 07:00:00,184.78,184.85,184.3,184.57,126982
2026-02-27 07:05:00,184.57,184.78,184.41,184.55,64537
2026-02-27 07:10:00,184.55,184.75,184.42,184.75,52810
2026-02-27 07:15:00,184.74,184.79,184.59,184.69,30165
2026-02-27 07:20:00,184.7,184.89,184.7,184.8,43512
2026-02-27 07:25:00,184.785,184.785,184.53,184.62,37807
2026-02-27 07:30:00,184.6,184.74,184.59,184.61,37936
2026-02-27 07:35:00,184.61,184.625,184.41,184.42,58318
2026-02-27 07:40:00,184.41,184.41,183.77,183.77,175805
2026-02-27 07:45:00,183.79,184.1,183.65,183.85,127797
2026-02-27 07:50:00,183.84,184.1,183.75,183.91,63521
2026-02-27 07:55:00,183.9,183.94,183.5,183.73,103767
2026-02-27 08:00:00,184.55,186.68,183.5,185.7,1630658
2026-02-27 08:05:00,184.12,194.0,183.7,183.7006,124178
2026-02-27 08:10:00,183.72,183.89,183.01,183.08,343439
2026-02-27 08:15:00,183.08,183.37,182.45,182.98,494521
2026-02-27 08:20:00,183.0,183.25,182.9003,182.93,210539
2026-02-27 08:25:00,182.92,183.1,182.3,182.51,390798
2026-02-27 08:30:00,182.59,182.9,181.81,182.12,628679
2026-02-27 08:35:00,182.13,182.4,181.65,181.9103,586832
2026-02-27 08:40:00,181.92,182.1,181.46,182.0,590859
2026-02-27 08:45:00,181.9989,182.33,181.9,182.31,369962
2026-02-27 08:50:00,182.315,182.35,182.08,182.19,243783
