ticker,timestamp,time_bucket,signal_type,entry,stop,risk,atr,volume_ratio,confidence,outcome,peak_r,actual_r,peak_price,bars_to_peak,time_to_peak_min,bars_to_exit,stopped_out
QQQ,2026-01-08 14:00:00,MIDDAY (10:30-15:00),SELL,622.97,623.26,0.29,0.19,4.47,100,STOP_OUT,0.07,-1.0,622.95,0,0,0,True
QQQ,2026-01-08 14:30:00,MIDDAY (10:30-15:00),SELL,622.35,622.73,0.38,0.25,75.97,95,REVERSAL,1.53,0.76,621.77,0,0,0,False
QQQ,2026-01-08 14:31:00,MIDDAY (10:30-15:00),SELL,621.93,622.36,0.43,0.29,3.35,97,STOP_OUT,0.0,-1.0,621.93,0,0,0,True
QQQ,2026-01-08 14:34:00,MIDDAY (10:30-15:00),SELL,621.09,621.77,0.68,0.45,2.13,75,REVERSAL,1.0,0.5,620.41,3,3,3,False
QQQ,2026-01-08 15:54:00,CLOSE (15:00-16:00),SELL,618.91,619.55,0.64,0.43,2.35,80,STOP_OUT,0.17,-1.0,618.8,1,1,1,True
QQQ,2026-01-09 10:21:00,MORNING (9:45-10:30),BUY,621.91,621.8,0.11,0.07,3.71,90,REVERSAL,0.64,0.32,621.98,0,0,0,False
QQQ,2026-01-09 10:41:00,MIDDAY (10:30-15:00),SELL,621.77,621.89,0.12,0.08,2.74,87,REVERSAL,1.0,0.5,621.65,1,1,1,False
QQQ,2026-01-09 11:22:00,MIDDAY (10:30-15:00),BUY,622.05,621.94,0.11,0.07,7.35,97,REVERSAL,0.64,0.32,622.12,1,1,1,False
QQQ,2026-01-09 11:25:00,MIDDAY (10:30-15:00),BUY,622.21,622.11,0.11,0.07,2.39,80,REVERSAL,0.8,0.4,622.29,0,0,0,False
QQQ,2026-01-09 11:34:00,MIDDAY (10:30-15:00),BUY,622.49,622.35,0.14,0.09,3.19,97,REVERSAL,0.79,0.39,622.6,4,4,4,False
QQQ,2026-01-09 11:42:00,MIDDAY (10:30-15:00),BUY,622.65,622.47,0.18,0.12,5.27,100,STOP_OUT,0.39,-1.0,622.72,2,2,2,True
QQQ,2026-01-09 12:15:00,MIDDAY (10:30-15:00),SELL,621.89,622.04,0.15,0.1,4.68,100,REVERSAL,0.6,0.3,621.8,0,0,0,False
QQQ,2026-01-09 12:37:00,MIDDAY (10:30-15:00),SELL,621.51,621.65,0.14,0.09,4.16,93,STOP_OUT,0.21,-1.0,621.48,0,0,0,True
QQQ,2026-01-09 12:59:00,MIDDAY (10:30-15:00),BUY,622.26,622.1,0.16,0.11,3.44,100,STOP_OUT,0.0,-1.0,622.26,0,0,0,True
QQQ,2026-01-09 13:30:00,MIDDAY (10:30-15:00),BUY,622.4,621.99,0.41,0.27,6.13,90,REVERSAL,1.5,0.75,623.02,3,3,3,False
QQQ,2026-01-09 13:58:00,MIDDAY (10:30-15:00),BUY,623.52,622.94,0.58,0.39,2.0,75,REVERSAL,0.66,0.33,623.9,2,2,2,False
QQQ,2026-01-09 14:00:00,MIDDAY (10:30-15:00),BUY,623.67,623.08,0.59,0.39,2.12,75,REVERSAL,0.59,0.3,624.02,2,2,2,False
QQQ,2026-01-09 14:01:00,MIDDAY (10:30-15:00),BUY,623.78,623.49,0.29,0.19,2.63,80,REVERSAL,0.83,0.41,624.02,1,1,1,False
QQQ,2026-01-09 14:11:00,MIDDAY (10:30-15:00),SELL,622.78,623.16,0.38,0.25,2.33,80,REVERSAL,1.21,0.61,622.32,0,0,0,False
